City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Kentau,KZ,43.5206,68.5094,57.58,35,18,3.22,few clouds
307,Anadyr,RU,64.75,177.4833,3.7,71,0,13.42,clear sky
308,Lebu,CL,-37.6167,-73.65,53.19,76,0,20.58,clear sky
309,Rock Sound,BS,24.9,-76.2,77.45,78,4,5.37,clear sky
310,College,US,64.8569,-147.8028,28.22,57,40,9.22,scattered clouds
311,San Quintin,MX,30.4833,-115.95,61.14,69,0,13.78,clear sky
312,Hanover,DE,52.3705,9.7332,37.92,85,0,10.36,clear sky
313,Aitape,PG,-3.1374,142.3475,83.34,77,66,0.25,broken clouds
314,Zeerust,ZA,-25.5369,26.0751,61.39,95,100,3.58,moderate rain
315,Hami,CN,42.8,93.45,54.0,25,1,7.11,clear sky
316,Vitim,RU,59.4511,112.5578,18.59,90,100,8.75,light snow
317,Tabuk,PH,17.4189,121.4443,72.84,95,100,5.68,overcast clouds
318,Denpasar,ID,-8.65,115.2167,83.86,79,20,1.14,few clouds
319,Corrales,US,35.2378,-106.6067,71.28,17,0,3.0,clear sky
320,Parati,BR,-23.2178,-44.7131,72.3,96,72,2.75,broken clouds
321,Kungurtug,RU,50.5994,97.5228,34.12,79,93,3.98,overcast clouds
322,Tessalit,ML,20.1986,1.0114,84.76,9,5,4.41,clear sky
323,Diapaga,BF,12.0708,1.7889,86.59,42,17,5.14,few clouds
324,Waipawa,NZ,-41.4122,175.5153,65.19,56,4,4.29,clear sky
325,Limoncito,BO,-18.0167,-63.4,73.18,79,6,6.08,clear sky
326,Turukhansk,RU,65.8167,87.9833,5.65,94,65,4.79,broken clouds
327,Jacareacanga,BR,-6.2222,-57.7528,73.81,99,100,1.81,moderate rain
328,Tarbes,FR,43.25,0.1667,34.27,86,100,1.14,overcast clouds
329,Vieira De Leiria,PT,39.8695,-8.9324,47.48,75,0,16.4,clear sky
330,Puerto Cabello,VE,10.4731,-68.0125,76.66,87,45,9.17,scattered clouds
331,Mulege,MX,26.8833,-111.9833,74.59,38,2,1.9,clear sky
332,Ribeira Brava,PT,32.65,-17.0667,60.71,63,100,14.7,overcast clouds
333,Ticleni,RO,44.8833,23.4,33.17,71,7,3.76,clear sky
334,Surt,LY,31.2089,16.5887,61.43,84,0,12.53,clear sky
335,Wanxian,CN,30.8039,108.3897,66.49,60,100,3.04,overcast clouds
336,Phan Thiet,VN,10.9333,108.1,81.52,65,54,6.42,broken clouds
337,Geraldton,AU,-28.7667,114.6,75.61,73,100,19.57,light rain
338,Chicama,PE,-7.8447,-79.1469,64.94,77,66,6.91,broken clouds
339,Lagos,NG,6.5833,3.75,82.72,84,100,6.15,overcast clouds
340,Phangnga,TH,8.4509,98.5298,80.64,88,100,3.02,overcast clouds
341,Beian,NO,63.6559,9.5683,32.0,100,75,6.22,light shower snow
342,Constitucion,CL,-35.3333,-72.4167,54.59,58,0,11.97,clear sky
343,Shenjiamen,CN,29.9576,122.298,53.69,57,0,6.26,clear sky
344,Valkeakoski,FI,61.2642,24.0312,28.78,92,100,7.78,light snow
345,Georgiyevka,KZ,43.0369,74.7114,44.64,81,0,2.24,clear sky
